Source: www.abc.org.uk/data Detailed Data Exported: 08/11/2022 12:15:44 
Copyright & Database right – all rights reserved. see www.abc.org.uk/copyright for details
"PERIOD","START DATE","END DATE","TITLE","REGISTRATION STATUS","OWNER","MARKET SECTOR","ISSUES","COVER PRICE","REGION","PLATFORM","CATEGORY/RATE","AVG. PER ISSUE"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airfix Model World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.49","UK / ROI","Digital","Paid Subscriptions - 20-99%","606"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airfix Model World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.49","Other Countries","Print","Paid Subscriptions - 20-99%","692"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airfix Model World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.49","Other Countries","Digital","Paid Subscriptions - 20-99%","760"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airfix Model World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.49","UK / ROI","Digital","Paid Subscriptions - All You Can Read","1651"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airfix Model World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.49","Other Countries","Digital","Paid Subscriptions - All You Can Read","1203"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airfix Model World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.49","UK / ROI","Digital","Paid Subscriptions - Below 20%","-1"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airfix Model World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.49","Other Countries","Digital","Paid Subscriptions - Below 20%","3"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airfix Model World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.49","UK / ROI","Print","Paid Subscriptions - Full Rate","320"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airfix Model World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.49","Other Countries","Print","Paid Subscriptions - Full Rate","106"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airfix Model World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.49","UK / ROI","Print","Paid Subscriptions - Multiple Copy","6"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airfix Model World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.49","Other Countries","Print","Paid Subscriptions - Multiple Copy","4"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","UK / ROI","Print","Paid Single Copies - Full Rate","5028"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","UK / ROI","Digital","Paid Single Copies - Full Rate","1"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","Other Countries","Print","Paid Single Copies - Full Rate","3313"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","Other Countries","Digital","Paid Single Copies - Full Rate","2"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","UK / ROI","Digital","Paid Single Copies - 20-99%","16"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","Other Countries","Digital","Paid Single Copies - 20-99%","61"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","UK / ROI","Digital","Paid Single Copies - Below 20%","5"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","Other Countries","Digital","Paid Single Copies - Below 20%","7"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","UK / ROI","Print","Paid Subscriptions - 20-99%","4907"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","UK / ROI","Digital","Paid Subscriptions - 20-99%","755"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","Other Countries","Print","Paid Subscriptions - 20-99%","3500"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","Other Countries","Digital","Paid Subscriptions - 20-99%","1825"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","UK / ROI","Digital","Paid Subscriptions - All You Can Read","869"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","Other Countries","Digital","Paid Subscriptions - All You Can Read","754"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","Other Countries","Print","Paid Subscriptions - Below 20%","1"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","Other Countries","Digital","Paid Subscriptions - Below 20%","5"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","UK / ROI","Print","Paid Subscriptions - Full Rate","1124"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","Other Countries","Print","Paid Subscriptions - Full Rate","474"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","UK / ROI","Print","Paid Subscriptions - Multiple Copy","9"
"Jan - Dec 2021","2021-01-01","2021-12-31","Airliner World","Registered","Key Publishing Ltd","Leisure Interests: Aviation","12","£5.60","Other Countries","Print","Paid Subscriptions - Multiple Copy","13"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer -  Digital","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","UK / ROI","Digital","Paid Single Copies - Full Rate","3"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer -  Digital","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","Other Countries","Digital","Paid Single Copies - Full Rate","12"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer -  Digital","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","UK / ROI","Digital","Paid Single Copies - 20-99%","18"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer -  Digital","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","Other Countries","Digital","Paid Single Copies - 20-99%","12"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer -  Digital","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","UK / ROI","Digital","Paid Subscriptions - 20-99%","956"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer -  Digital","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","Other Countries","Digital","Paid Subscriptions - 20-99%","538"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer -  Digital","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","UK / ROI","Digital","Paid Subscriptions - All You Can Read","1516"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer -  Digital","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","Other Countries","Digital","Paid Subscriptions - All You Can Read","1070"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer -  Digital","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","UK / ROI","Digital","Paid Subscriptions - Below 20%","1685"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer -  Digital","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","Other Countries","Digital","Paid Subscriptions - Below 20%","28"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer - Print","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","UK / ROI","Print","Paid Single Copies - Full Rate","3829"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer - Print","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","Other Countries","Print","Paid Single Copies - Full Rate","48"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer - Print","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","UK / ROI","Print","Paid Subscriptions - 20-99%","4291"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer - Print","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","Other Countries","Print","Paid Subscriptions - 20-99%","134"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer - Print","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","UK / ROI","Print","Paid Subscriptions - Below 20%","71"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer - Print","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","UK / ROI","Print","Paid Subscriptions - Full Rate","15"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer - Print","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","Other Countries","Print","Paid Subscriptions - Full Rate","10"
"Jan - Dec 2021","2021-01-01","2021-12-31","Amateur Photographer - Print","Registered","Kelsey Publishing Ltd","Leisure Interests: Photography","51","£3.49","Other Countries","Print","Paid Subscriptions - Multiple Copy","2"
"Jan - Dec 2021","2021-01-01","2021-12-31","Andy's Amazing Adventures","Registered","Immediate Media Company","Children's Magazines: Pre-School","13","£3.99","UK / ROI","Print","Paid Single Copies - Full Rate","42998"
"Jan - Dec 2021","2021-01-01","2021-12-31","Andy's Amazing Adventures","Registered","Immediate Media Company","Children's Magazines: Pre-School","13","£3.99","Other Countries","Print","Paid Single Copies - Full Rate","744"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","UK / ROI","Print","Paid Single Copies - Full Rate","13258"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","UK / ROI","Digital","Paid Single Copies - 20-99%","13"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","Other Countries","Digital","Paid Single Copies - 20-99%","1"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","UK / ROI","Print","Paid Subscriptions - 20-99%","5247"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","UK / ROI","Digital","Paid Subscriptions - 20-99%","474"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","Other Countries","Print","Paid Subscriptions - 20-99%","32"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","Other Countries","Digital","Paid Subscriptions - 20-99%","19"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","UK / ROI","Digital","Paid Subscriptions - All You Can Read","467"
"Jan - Dec 2021","2021-01-01","2021-12-31","Angling Times","Registered","Bauer Media","Sports: Angling - Coarse","51","£2.50","Other Countries","Digital","Paid Subscriptions - All You Can Read","47"
